Variable,Importance
roll_sd_ret21d_251d,0.0923005625435163
roll_sd_ret21d_251d_lag19,0.0647724194632573
corr_sma50_sma200_199d,0.06336911558999855
roll_sd_ret21d_251d_lag7,0.06287815782789526
roll_sd_intraday_251d,0.06016473855685983
roll_sd_ret1d_147d,0.05836343843293728
roll_mean_ret5d_147d,0.056546023861991666
above_sd_sma199_251d,0.05110630757750497
roll_sd_volu200_251d,0.04484444858678492
roll_mean_ret1d_61d,0.04443172434335816
corr_ema20_sma50_199d,0.041203417405730206
roll_mean_ret5d_61d,0.03955151142883388
corr_rollSdRet5d3M_rollSdRet5d7M_229d,0.03938054089575994
ma_cross_l,0.031711783612106824
corr_sma50_sma200_101d,0.029803970743202558
roll_sd_volu200_251d_lag5,0.02777608402777253
corr_ema20_sma50_251d,0.02672537619566053
roll_sd_ret5d_147d_lag5,0.025775378723441718
roll_sd_ret1d_61d,0.02431016547356881
roll_sd_ret5d_147d_lag11,0.023497483714110323
roll_sd_intraday_61d,0.018554050212225906
roll_sd_volu200_31d,0.01703676721708475
roll_sd_ret5d_147d,0.016781634963222134
roll_sd_volu200_251d_lag17,0.01626774643181703
atr17_open,0.014314744281935292
atr11_open,0.00853240788942332
