Variable,Importance
roll_sd_intraday_251d,0.07976897030024674
roll_sd_ret21d_251d_lag19,0.06515194582530986
ma_cross_l,0.06016557893598331
corr_ema20_sma50_251d,0.05856811036184826
corr_ema20_sma50_199d,0.05203834998963805
corr_sma50_sma200_101d,0.047267231278747907
corr_rollSdRet5d3M_rollSdRet5d7M_229d,0.045786199616598265
roll_sd_volu200_251d_lag5,0.04386442038103053
roll_sd_volu200_251d_lag17,0.04249011875361546
roll_sd_intraday_61d,0.04170084502266553
above_sd_sma199_251d,0.04000202898670756
corr_sma50_sma200_199d,0.039916552512469894
roll_sd_ret5d_147d,0.0387012861480834
roll_sd_ret21d_251d,0.03819597810974195
roll_sd_ret1d_147d,0.03705694965659561
roll_mean_ret5d_147d,0.0363427825842739
roll_sd_ret21d_251d_lag7,0.03608682451681588
roll_sd_ret5d_147d_lag11,0.03353018753182803
roll_sd_volu200_251d,0.029003288622046198
roll_sd_volu200_31d,0.028066644910377914
roll_sd_ret1d_61d,0.021813113922591297
roll_mean_ret5d_61d,0.02048773897064264
roll_sd_ret5d_147d_lag5,0.020171959839324998
roll_mean_ret1d_61d,0.018898782160111947
atr17_open,0.01838811131536953
atr11_open,0.0065359997473353375
