Variable,Importance
corr_rollSdRet5d3M_rollSdRet5d7M_229d,0.09601865276049942
roll_sd_intraday_251d,0.0944098895397397
corr_sma50_sma200_199d,0.06431815305343291
roll_sd_ret21d_251d_lag19,0.0608808969295001
corr_ema20_sma50_251d,0.051760920904175924
corr_sma50_sma200_101d,0.04540324112338638
above_sd_sma199_251d,0.04514722143787237
corr_ema20_sma50_199d,0.044209748000895076
roll_sd_ret5d_147d_lag5,0.042687765045426394
roll_sd_ret21d_251d,0.04031552428438109
roll_mean_ret5d_147d,0.03895426466252368
roll_sd_ret1d_147d,0.037725453990204626
roll_sd_ret21d_251d_lag7,0.03699003925420038
roll_sd_volu200_251d_lag17,0.03142203628827486
ma_cross_l,0.031399374871942415
roll_sd_volu200_251d_lag5,0.029641569963372725
roll_sd_intraday_61d,0.027289787340637778
roll_sd_ret5d_147d_lag11,0.02682101603699089
roll_mean_ret5d_61d,0.026535283631705316
roll_mean_ret1d_61d,0.026208923837591394
roll_sd_ret1d_61d,0.025821104182861324
roll_sd_ret5d_147d,0.024296767402211147
roll_sd_volu200_251d,0.022541568587036008
roll_sd_volu200_31d,0.012223079505222834
atr17_open,0.01200236007695745
atr11_open,0.004975357288957821
