Variable,Importance
above_sd_sma199_251d,0.06866176472381655
roll_sd_ret1d_147d,0.0640285155800164
corr_sma50_sma200_199d,0.06341681180880467
roll_mean_ret5d_61d,0.06265212982943401
roll_sd_intraday_251d,0.06137658634999635
corr_sma50_sma200_101d,0.05976514089408453
roll_sd_ret21d_251d,0.057480731692086666
roll_sd_volu200_251d_lag17,0.051950539352341146
corr_ema20_sma50_251d,0.04935006909853386
roll_sd_volu200_251d,0.04599219419397102
roll_sd_volu200_251d_lag5,0.03858518527533601
roll_mean_ret1d_61d,0.03791676861522118
roll_sd_ret21d_251d_lag7,0.03321371535525546
roll_sd_ret5d_147d,0.032965123900377355
corr_rollSdRet5d3M_rollSdRet5d7M_229d,0.032255556983312346
roll_mean_ret5d_147d,0.031099208381451682
roll_sd_ret1d_61d,0.030393319949917844
roll_sd_intraday_61d,0.027776147181631745
roll_sd_ret21d_251d_lag19,0.026471285326309667
corr_ema20_sma50_199d,0.02543489816058053
ma_cross_l,0.024280871633821748
roll_sd_ret5d_147d_lag11,0.016658120036548915
atr17_open,0.01618349584996896
roll_sd_ret5d_147d_lag5,0.015904673864303057
roll_sd_volu200_31d,0.01358265102777707
atr11_open,0.012604494935101237
