Variable,Importance
roll_sd_ret21d_251d_lag19,0.08598111170453153
roll_sd_volu200_251d_lag17,0.07444510124337031
corr_rollSdRet5d3M_rollSdRet5d7M_229d,0.07340781235237719
roll_mean_ret5d_147d,0.06409074540035163
above_sd_sma199_251d,0.060763625163299056
roll_sd_ret1d_147d,0.05411089936700825
corr_sma50_sma200_199d,0.04470825998257194
roll_sd_ret21d_251d_lag7,0.04318888254855891
roll_sd_intraday_251d,0.03991712813288269
roll_sd_ret21d_251d,0.03934126227128558
ma_cross_l,0.03733145641414202
corr_ema20_sma50_199d,0.03531522576046879
roll_sd_volu200_251d,0.03279834375243479
roll_sd_intraday_61d,0.0324314713967538
corr_sma50_sma200_101d,0.03242174039260826
corr_ema20_sma50_251d,0.03199696478700698
roll_sd_ret5d_147d_lag11,0.030070985593131674
roll_mean_ret1d_61d,0.02756692800979452
roll_mean_ret5d_61d,0.024469807709191837
roll_sd_ret1d_61d,0.024214772116179426
roll_sd_ret5d_147d,0.023383470255803285
roll_sd_volu200_251d_lag5,0.02333039017934615
roll_sd_ret5d_147d_lag5,0.02222898374093468
atr17_open,0.01634227078473015
roll_sd_volu200_31d,0.013077373603811547
atr11_open,0.013064987337425034
