Variable,Importance
above_sd_sma199_251d,0.0982990315854628
roll_sd_intraday_251d,0.08430263970728422
roll_mean_ret1d_61d,0.07211119491654784
corr_sma50_sma200_199d,0.05871768052415252
ma_cross_l,0.05389272752673537
roll_sd_ret21d_251d_lag19,0.04831880849812622
roll_sd_intraday_61d,0.04412511475561686
roll_sd_ret1d_61d,0.04210084194084062
corr_ema20_sma50_251d,0.03910466835753072
roll_mean_ret5d_61d,0.039068144211707484
corr_rollSdRet5d3M_rollSdRet5d7M_229d,0.03782531048030765
roll_sd_ret1d_147d,0.03622212634321359
roll_sd_ret21d_251d_lag7,0.03524803525123433
corr_ema20_sma50_199d,0.033689565863967444
roll_sd_volu200_251d_lag17,0.03187091619342836
roll_sd_ret5d_147d_lag11,0.029955480349717168
roll_sd_volu200_251d,0.028501384898311027
roll_sd_volu200_251d_lag5,0.02749582348020183
corr_sma50_sma200_101d,0.02505473412319786
roll_sd_volu200_31d,0.022880765762476298
roll_mean_ret5d_147d,0.02284430391025564
roll_sd_ret5d_147d_lag5,0.022842509452607084
roll_sd_ret5d_147d,0.02043648938438542
roll_sd_ret21d_251d,0.020412040150107728
atr17_open,0.014095508033034346
atr11_open,0.010584154299549562
