Variable,Importance
too_corr2,0.06967559512707953
oih_vde_corr_179d,0.04651641043367341
roll_sd_volu200_251d,0.04032849573882992
cvx_uup_sd_223d,0.04024698476525571
xle_spy_corr_251d,0.04002211176267521
dia_qqq_corr_109d,0.03526001968330184
xle_spy_corr_157d,0.033949156833642205
too_corr4,0.0334430848522572
cvx_uup_corr_199d,0.03226009019305963
dia_qqq_corr_127d,0.026174516869779684
roll_sd_ret21d_251d,0.02573174195255841
cvx_xle_sd_251d,0.02468593996133162
oih_vde_corr_251d,0.024596391002257797
corr_sma50_sma200_199d,0.024253305750043492
cvx_xle_corr_199d,0.0242040668739211
corr_sma50_sma200_251d,0.023251410218785483
cvx_uup_corr_157d,0.022694315674289634
roll_sd_intraday_61d,0.022564891677871325
corr_ema20_sma50_251d,0.02138304263877203
oih_vde_sd_157d,0.021309211255983153
xle_spy_sd_199d,0.021140614510128695
roll_sd_ret5d_61d,0.020832840459677527
xle_spy_sd_251d,0.020767212794048053
oih_vde_sd_251d,0.020631215465673484
too_corr1,0.01964534825756252
dia_qqq_corr_251d,0.019344159968942093
above_sd_sma200_251d,0.019310974275715712
ret_71d,0.01920003143100928
corr_sma50_sma200_101d,0.017396369634267737
too_corr3,0.016891559285142847
cvx_uup_sd_127d,0.016710786441408495
roll_sd_ret1d_147d,0.016702779530595086
corr_ema20_sma50_199d,0.016388819545942408
cvx_xle_sd_223d,0.016324958994135403
ma_cross_l,0.015850118108214174
oih_vde_corr_109d,0.015691426936500545
dia_qqq_sd_157d,0.01474213049076709
dia_qqq_ret_127d,0.014223983922143803
xle_spy_corr_37d,0.011956961264389828
cvx_xle_corr_83d,0.011165392675097495
cvx_xle_corr_97d,0.010947840868588028
roll_sd_volu100_61d,0.00822750638543045
roll_sd_volu50_21d,0.003356185489250846
