Variable,Importance
roll_sd_volu200_251days,0.12871851227744427
ma_cross_l,0.11435789460287914
roll_sd_ret21d_1Y,0.10866403555023019
corr_ema20_sma50_1Y,0.1014412777913731
corr_ema20_sma50_199d,0.09810719362395974
corr_sma50_sma200_199d,0.08376610409227338
roll_sd_ret5d_7M,0.0722561773446124
roll_sd_ret1d_63days,0.06220081042438285
above_sd_ret21d_1Y,0.05544971508919446
roll_sd_intraday_3M,0.0545966392714517
roll_sd_volu200_31days,0.048926659785881545
roll_sd_ret5d_3M,0.04831347773844235
above_sd_ret5d_7M,0.013101391517596204
above_sd_ret5d_3M,0.0051033673059288
above_sd_intraday_1Y,0.0033838722760258007
above_sd_ret1d_3M,0.001612871308324066
