Variable,Importance
roll_sd_volu200_251days,0.13593400269594544
corr_sma50_sma200_199d,0.13051909290995
ma_cross_l,0.12138519531940058
roll_sd_ret5d_7M,0.11278187468359761
roll_sd_ret21d_1Y,0.10985057587819903
corr_ema20_sma50_1Y,0.08098613222770648
roll_sd_ret1d_63days,0.06316697229935599
corr_ema20_sma50_199d,0.06280470873133341
roll_sd_intraday_3M,0.05474723637745361
above_sd_ret21d_1Y,0.045080823714714294
roll_sd_ret5d_3M,0.04116688638705485
roll_sd_volu200_31days,0.027614455237997347
corr_sma50_sma200_1Y,0.008927529181301585
above_sd_ret5d_7M,0.0020688710171402804
above_sd_ret5d_3M,0.001713424658255544
above_sd_intraday_1Y,0.0012522186805939447
