Variable,Importance
corr_sma50_sma200_1Y,0.14049303142354047
roll_sd_volum200d_1Y,0.13777731462094453
roll_sd_ret21d_1Y,0.1196388480383222
roll_sd_ret3M_1Y,0.09981286551374603
roll_sd_ret1d_7M,0.09690250954927489
sd_abov_ema11,0.08311898594674114
corr_ema23_sma47_200d,0.06869776226360752
corr_ema23_sma101_1Y,0.05938995264818295
sd_abov_sma101,0.05725288525723742
sd_abov_sma199,0.04480111266546398
sd_abov_sma47,0.03251195142890614
sd_abov_ret11d_1Y,0.03010113057472275
sd_abov_ema23,0.029501650069309982
