Variable,Importance
sd_abov_sma199,0.13754359146258574
roll_sd_ret1d_7M,0.10504864987452835
roll_sd_volum200d_1Y,0.09808968361962223
roll_sd_ret21d_1Y,0.09804588254865908
sd_abov_ema11,0.08710230364136687
corr_ema23_sma47_200d,0.07856567498719222
corr_sma50_sma200_1Y,0.07485777113812432
sd_abov_sma101,0.06779995333950176
roll_sd_ret3M_1Y,0.06457147800630755
corr_ema23_sma101_1Y,0.06023101352728551
sd_abov_sma47,0.05464290506297594
sd_abov_ret11d_1Y,0.03852383142983263
sd_abov_ema23,0.03497726136201779
