Variable,Importance
roll_sd_ret1d_7M,0.11070588457052002
roll_sd_ret21d_1Y,0.10374230703955732
sd_abov_sma199,0.09544778867044572
roll_sd_ret3M_1Y,0.09271650617111084
corr_sma50_sma200_1Y,0.08945257813083433
corr_ema23_sma47_200d,0.08660980630816918
corr_ema23_sma101_1Y,0.08241112180684707
roll_sd_volum200d_1Y,0.07660944303117322
sd_abov_sma47,0.07344633151433164
sd_abov_ema11,0.05473211179346548
sd_abov_sma101,0.05353709973478368
sd_abov_ret11d_1Y,0.04196562748702919
sd_abov_ema23,0.03862339374173231
