Variable,Importance
roll_sd_volum200d_1Y,0.12037639762037303
corr_sma50_sma200_1Y,0.09589188276753624
corr_ema23_sma47_200d,0.0942728300093609
sd_abov_sma199,0.09235425922449816
corr_ema23_sma101_1Y,0.08709240386630195
roll_sd_ret21d_1Y,0.08627628842269387
roll_sd_ret3M_1Y,0.08366877144693613
sd_abov_ema11,0.08134651207731251
roll_sd_ret1d_7M,0.06822718959179931
sd_abov_sma101,0.05958509186487283
sd_abov_sma47,0.05592748769854246
sd_abov_ret11d_1Y,0.04125688173674581
sd_abov_ema23,0.03372400367302682
