Variable,Importance
roll_sd_ret1d_7M,0.13010104443839587
roll_sd_ret21d_1Y,0.12531193049865055
sd_abov_ema23,0.12255449612471048
sd_abov_sma47,0.08873161546600958
roll_sd_volum200d_1Y,0.08299490494449266
corr_sma50_sma200_1Y,0.07747214194773157
sd_abov_ema11,0.07299165395470193
roll_sd_ret3M_1Y,0.06732285691084583
corr_ema23_sma47_200d,0.06508699728076457
corr_ema23_sma101_1Y,0.06250657662431598
sd_abov_sma101,0.05146015703240352
sd_abov_sma199,0.03606812068257953
sd_abov_ret11d_1Y,0.01739750409439794
