Variable,Importance
sd_abov_sma101,0.21098736904532395
sd_abov_sma199,0.17538441897793963
roll_sd_volum200d_1Y,0.12748837876271416
roll_sd_ret3M_1Y,0.10532617457183525
corr_ema23_sma101_1Y,0.0782665498028778
roll_sd_ret21d_1Y,0.07229473565489733
corr_ema23_sma47_200d,0.06836992728321763
roll_sd_ret1d_7M,0.04735952593225133
sd_abov_sma47,0.045196161383813084
sd_abov_ema11,0.03244961640158742
sd_abov_ema23,0.01848769690676975
corr_sma50_sma200_1Y,0.0134122409990962
sd_abov_ret11d_1Y,0.0049772042776764815
