Variable,Importance
sd_abov_ema11,0.13390158044996064
corr_sma59_sma211_1Y,0.11833601715741802
roll_sd_ret1d_7M,0.1165544996994987
roll_sd_ret21d_1Y,0.08841948146936943
corr_sdabovsma97_sdabovsma223_1Y,0.07917704693305612
ma_cross_l,0.07512291990225896
sd_abov_sma199,0.06609168374064799
roll_sd_volum200d_1Y,0.05121571730461994
corr_ema23_sma53_200d,0.048247527977629365
roll_sd_ret11d_227d,0.04797564393730089
roll_sd_intraday_3M,0.0451590538525941
perc_abov_roll_min241d,0.030870191456310096
roll_sd_ret3M_1Y,0.029090800051349838
perc_abov_roll_max241d,0.028268189938861994
perc_abov_roll_max67d,0.024064593201218346
perc_abov_roll_min67d,0.017505052927905586
