Variable,Importance
sd_abov_ema11,0.1176285673536196
corr_sdabovsma97_sdabovsma223_1Y,0.09375298953681789
roll_sd_ret1d_7M,0.0876207335647836
corr_sma59_sma211_1Y,0.08494446413421528
roll_sd_ret3M_1Y,0.07824920241125219
sd_abov_sma199,0.07140731675090274
roll_sd_ret21d_1Y,0.0690148073780763
corr_ema23_sma53_200d,0.06776429560435121
roll_sd_volum200d_1Y,0.06608578272042036
roll_sd_ret11d_227d,0.04841457047122008
perc_abov_roll_min67d,0.04442199486293733
roll_sd_intraday_3M,0.04133975234436526
ma_cross_l,0.040630092596721956
perc_abov_roll_min241d,0.03268358128016098
perc_abov_roll_max241d,0.03095738063845226
perc_abov_roll_max67d,0.02508446835170297
