Variable,Importance
sd_251d,0.08298092531568724
sd_199d,0.06987093359617678
sd_127d,0.057671403482964026
sd_223d,0.0537684770806086
sd_109d,0.05298926863512635
ret_223d,0.05262357631114262
sd_157d,0.0499795875077227
ret_251d,0.04705941244256447
ret_71d,0.04495896991948854
sd_179d,0.04353556655202305
ret_83d,0.03746356806062398
ret_199d,0.035133095075457026
sd_37d,0.02731977459124762
sd_97d,0.02721594319749374
ret_109d,0.026717942689308424
ret_157d,0.026452339078351195
ret_97d,0.0234028205036463
ret_59d,0.02140062334966383
ret_179d,0.018372557408309235
ret_127d,0.017339378605547948
sd_47d,0.016312412063395555
sd_83d,0.016224739030608736
sd_71d,0.016193583423797904
sd_29d,0.01580108967471569
ret_47d,0.01470245227013051
ret_37d,0.013970629993747277
sd_59d,0.013012287123577196
ret_23d,0.01159395774079072
sd_23d,0.01031931046052652
ret_17d,0.009427028852187219
ret_29d,0.008737983648322206
sd_17d,0.007200583235788612
sd_19d,0.0069090829264914135
ret_19d,0.006890014410234368
ret_11d,0.006491292192083416
sd_11d,0.005306531872870944
sd_5d,0.0028483973742401145
ret_5d,0.0018024603033379074
