Variable,Importance
sd_223d_gld_gdx,0.0395743036114533
corr_157d_uup,0.03686082640299796
sd_199d_gld_gdx,0.03590577043349019
corr_127d_uup,0.03269428958762655
corr_251d_uup,0.02545935602301301
corr_127d_dia_qqq,0.024458581929589048
corr_97d_gld_gdx,0.022601675694925914
corr_223d_uup,0.021674881913185524
ret_127d_gld_gdx,0.02068245660908311
corr_251d_gld_gdx,0.018890555189042188
ret_223d_xme,0.018262685914320932
corr_179d_dia_qqq,0.018215394849972442
sd_251d_gld_gdx,0.018048195533209768
corr_109d_uup,0.017640266391367714
corr_97d_uup,0.016918367642695963
ret_97d_tic,0.016346781385605292
corr_199d_gld_gdx,0.015881125192762812
sd_179d_gld_gdx,0.015837056804975696
corr_223d_gld_gdx,0.015808320129510348
ret_157d_tic,0.015559831196352564
corr_109d_gld_gdx,0.015392607195258782
corr_199d_uup,0.015206565505750037
sd_223d_tic,0.015089692054710457
corr_127d_gld_gdx,0.01499062697721385
corr_199d_xme,0.014368555777599608
corr_157d_xme,0.014288481178835723
corr_251d_xme,0.014066714405454499
sd_223d_xme,0.014064758857890023
corr_157d_dia_qqq,0.013110069039293695
corr_179d_xme,0.01278099399317739
sd_223d_dia_qqq,0.012610654280957038
corr_179d_gld_gdx,0.01260170483957852
sd_251d_xme,0.0125383360475681
corr_199d_dia_qqq,0.012393204522816326
corr_179d_uup,0.011953398310051244
sd_83d_gld_gdx,0.011838318587072206
corr_223d_xme,0.011263715356179397
sd_251d_tic,0.01120649707667015
sd_223d_uup,0.011186294323009662
ret_127d_dia_qqq,0.010683517010235353
corr_223d_dia_qqq,0.010613017189238065
corr_157d_gld_gdx,0.010571040798512385
sd_199d_uup,0.010421637513127132
sd_179d_dia_qqq,0.010399013637990428
sd_251d_uup,0.010354553729284899
corr_251d_dia_qqq,0.01032703824253355
ret_199d_tic,0.01009028053773503
sd_127d_xme,0.010002436545754778
corr_83d_gld_gdx,0.009876642451722971
corr_109d_dia_qqq,0.009853766247868271
corr_97d_dia_qqq,0.009749812301460475
ret_179d_tic,0.009685772918454945
sd_199d_xme,0.0095605815335077
ret_251d_tic,0.009343396446250539
sd_109d_tic,0.009280203187261334
sd_97d_xme,0.008975533402176722
sd_199d_dia_qqq,0.008608764011106178
sd_179d_xme,0.00838312728314785
sd_157d_xme,0.008186847767311902
sd_97d_tic,0.008122305098222106
sd_109d_xme,0.008092339005932385
sd_83d_dia_qqq,0.007830064559526432
sd_251d_dia_qqq,0.007682966516396356
sd_83d_uup,0.007447148873207545
sd_157d_tic,0.007228728198043236
ret_251d_uup,0.006844696917093424
corr_83d_dia_qqq,0.006841825992250345
ret_251d_xme,0.00675510925139071
sd_59d_tic,0.006701359120402193
sd_83d_tic,0.006654820242476646
sd_179d_uup,0.005948350572099365
sd_127d_tic,0.005691835802952035
sd_199d_tic,0.005171953620071339
sd_157d_uup,0.0050131387477751485
sd_179d_tic,0.004734463963213194
