Variable,Importance
sd_223d,0.050307297801729406
sd_127d,0.04482882720175765
corr_199d,0.041741098784546134
sd_251d,0.03730983967356522
corr_251d,0.03529029397925268
sd_199d,0.034751642309083015
ret_251d,0.030478039969521725
corr_223d,0.028871178679910948
corr_157d,0.02790790860929111
corr_127d,0.027336790123101824
sd_109d,0.02703897547058017
ret_199d,0.027002350449145392
sd_157d,0.02474905497603926
corr_109d,0.023329864309224374
corr_179d,0.023123535555144566
sd_97d,0.02292342528160799
sd_83d,0.022547333622490437
corr_97d,0.022305584812063812
sd_71d,0.018727740879805003
sd_59d,0.018309934028652296
ret_109d,0.018158343772312804
ret_71d,0.01735703391985531
ret_223d,0.01683327083058836
corr_47d,0.016450171277415705
ret_47d,0.01563597394679087
sd_47d,0.015025555578050777
sd_179d,0.014838050368989055
corr_83d,0.01478329707815056
ret_157d,0.014745927022498447
corr_37d,0.01470626269180162
ret_97d,0.014353810403572684
corr_59d,0.014298517837064241
ret_179d,0.014296929596250754
ret_59d,0.014128297690810082
sd_29d,0.013709864150225466
ret_83d,0.012939473217787326
ret_127d,0.012870919311175764
corr_71d,0.012538439050314378
sd_37d,0.012176763937784944
ret_17d,0.011669897256291603
ret_23d,0.011279721222881386
sd_23d,0.0100872361304731
corr_23d,0.009472081280661801
ret_37d,0.00936185319924185
corr_29d,0.008278910326428895
ret_11d,0.007719234974093926
corr_19d,0.007704560220701244
corr_17d,0.007086638389117086
ret_29d,0.006912835623449612
ret_19d,0.006757458333976525
sd_11d,0.006480781001510727
ret_5d,0.005656668260625237
sd_19d,0.005541411870651837
sd_5d,0.005070981934798281
sd_17d,0.004715954302659245
corr_11d,0.0044990615954463836
corr_5d,0.002977095879039101
